run_id,kernel,mode,bound_mode,K,retained_count,evaluated_candidates,trajectory_iterations,trajectory_breaks,stopped_at_iteration,stopped_at_breaks,selected_iteration,selected_breaks,selected_freq_mhz,baseline_freq_mhz,norm_freq_vs_baseline,full_bounds_freq_mhz,norm_freq_vs_full_bounds,P_mean_mW,P_upper_mW,power_cap_mW,predicted_headroom_mW,calibration_source,anchor_has_finite_conformal_guarantee,P_oracle_mW,success,delta_cap_pct
SIM_DIR-1784852438,SIM_DIR,baseline,,4,3,141,140,140,,,140,140,483.0,483.0,1.0,385.0,1.2545454545454546,1262.1339001459048,1830.0941552115619,,,,,,,
SIM_DIR-1784852438,SIM_DIR,capstone_i,,4,4,81,140,140,80,80,70,70,312.0,483.0,0.6459627329192547,385.0,0.8103896103896104,756.4136822472539,1096.799839258518,1100.0,3.200160741482023,,,,,
SIM_DIR-1784852438,SIM_DIR,capstone_ii,,4,4,90,140,140,89,89,81,81,346.0,483.0,0.7163561076604554,385.0,0.8987012987012987,849.2074155721372,1092.791415572137,1100.0,7.208584427862888,/aha/archipelago/archipelago/coeffs/capstone_ii_calibration.json,False,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_1x,fit_1x,4,4,108,140,140,107,107,106,106,409.0,483.0,0.8467908902691511,385.0,1.0623376623376624,1031.4954239796343,1083.1692991567172,1100.0,16.830700843282784,,,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_2x,fit_2x,4,4,102,140,140,101,101,100,100,396.0,483.0,0.8198757763975155,385.0,1.0285714285714285,992.3021693404987,1091.630594230751,1100.0,8.369405769248942,,,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_activity,fit_activity,4,4,103,140,140,102,102,101,101,399.0,483.0,0.8260869565217391,385.0,1.0363636363636364,1000.8964459449988,1091.075513240631,1100.0,8.924486759369074,,,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,4,4,99,140,140,98,98,97,97,392.0,483.0,0.8115942028985508,385.0,1.018181818181818,979.1027138743178,1096.6928890866789,1100.0,3.3071109133211394,,,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_full,full,4,4,94,140,140,93,93,92,92,385.0,483.0,0.7971014492753623,385.0,1.0,956.4124630378409,1099.9716444278206,1100.0,0.028355572179407318,,,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_1x,fit_1x,90,90,108,140,140,107,107,106,106,409.0,483.0,0.8467908902691511,385.0,1.0623376623376624,1031.4954239796343,1083.1692991567172,1100.0,16.830700843282784,,,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_2x,fit_2x,90,90,102,140,140,101,101,100,100,396.0,483.0,0.8198757763975155,385.0,1.0285714285714285,992.3021693404987,1091.630594230751,1100.0,8.369405769248942,,,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_activity,fit_activity,90,90,103,140,140,102,102,101,101,399.0,483.0,0.8260869565217391,385.0,1.0363636363636364,1000.8964459449988,1091.075513240631,1100.0,8.924486759369074,,,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,90,90,99,140,140,98,98,97,97,392.0,483.0,0.8115942028985508,385.0,1.018181818181818,979.1027138743178,1096.6928890866789,1100.0,3.3071109133211394,,,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_full,full,90,90,94,140,140,93,93,92,92,385.0,483.0,0.7971014492753623,385.0,1.0,956.4124630378409,1099.9716444278206,1100.0,0.028355572179407318,,,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_full,full,8,8,94,140,140,93,93,92,92,385.0,483.0,0.7971014492753623,385.0,1.0,956.4124630378409,1099.9716444278206,1100.0,0.028355572179407318,,,,,
SIM_DIR-1784852438,SIM_DIR,capstone_iii_full,full,4,4,94,140,140,93,93,92,92,385.0,483.0,0.7971014492753623,385.0,1.0,956.4124630378409,1099.9716444278206,1100.0,0.028355572179407318,,,,,
