run_id,kernel,mode,bound_mode,rank,tag,iteration,breaks,f_mhz,P_mean_mW,P_upper_mW,power_cap_mW,predicted_headroom_mW
SIM_DIR-1784853860,SIM_DIR,baseline,,0,ANCHOR,151,151,483.0,1187.1197676941672,1721.3236631565424,,
SIM_DIR-1784853860,SIM_DIR,baseline,,1,SPEC,146,146,477.0,1166.1122540163813,1515.9459302212956,,
SIM_DIR-1784853860,SIM_DIR,baseline,,2,SPEC,148,148,477.0,1168.6176906945136,1519.2029979028678,,
SIM_DIR-1784853860,SIM_DIR,capstone_i,,0,ANCHOR,68,68,308.0,689.0239101790621,999.0846697596401,1000.0,0.9153302403599355
SIM_DIR-1784853860,SIM_DIR,capstone_i,,1,SPEC,83,83,337.0,767.5126838429411,997.7664889958235,1000.0,2.2335110041765347
SIM_DIR-1784853860,SIM_DIR,capstone_i,,2,SPEC,82,82,331.0,752.9592347720993,978.8470052037292,1000.0,21.152994796270832
SIM_DIR-1784853860,SIM_DIR,capstone_i,,3,SPEC,81,81,330.0,749.7979444557159,974.7373277924306,1000.0,25.26267220756938
SIM_DIR-1784853860,SIM_DIR,capstone_ii,,0,ANCHOR,85,85,342.0,780.7355188280025,999.6155188280025,1000.0,0.3844811719975496
SIM_DIR-1784853860,SIM_DIR,capstone_ii,,1,SPEC,92,92,366.0,842.3860155629126,988.7860155629126,1000.0,11.213984437087447
SIM_DIR-1784853860,SIM_DIR,capstone_ii,,2,SPEC,89,89,356.0,816.5117186343748,958.9117186343748,1000.0,41.08828136562522
SIM_DIR-1784853860,SIM_DIR,capstone_ii,,3,SPEC,91,91,356.0,818.4179543719604,960.8179543719604,1000.0,39.182045628039646
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_1x,fit_1x,0,ANCHOR,112,112,404.0,951.3795254908754,999.0475745021045,1000.0,0.9524254978955469
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_1x,fit_1x,1,SPEC,111,111,403.0,947.9543036962074,995.451091617703,1000.0,4.548908382296986
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_1x,fit_1x,2,SPEC,110,110,403.0,946.8835604347701,994.3268111931937,1000.0,5.673188806806252
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_1x,fit_1x,3,SPEC,109,109,403.0,945.8124395692403,993.2021342843875,1000.0,6.797865715612488
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_2x,fit_2x,0,ANCHOR,101,101,390.0,906.9969920849603,997.7948367668268,1000.0,2.2051632331731525
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_2x,fit_2x,1,SPEC,100,100,389.0,903.634116215614,994.0956733105459,1000.0,5.9043266894541375
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_2x,fit_2x,2,SPEC,99,99,389.0,902.5964393504466,992.9542287588616,1000.0,7.045771241138368
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_2x,fit_2x,3,SPEC,98,98,388.0,899.2407903143178,989.26301481912,1000.0,10.73698518087997
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_activity,fit_activity,0,ANCHOR,103,103,393.0,916.0684990792797,998.6129949224483,1000.0,1.3870050775517484
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_activity,fit_activity,1,SPEC,102,102,392.0,912.6930659532409,994.9337728150659,1000.0,5.066227184934064
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_activity,fit_activity,2,SPEC,101,101,390.0,906.9969920849603,988.7250522986401,1000.0,11.274947701359906
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_activity,fit_activity,3,SPEC,100,100,389.0,903.634116215614,985.0595176010528,1000.0,14.94048239894721
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,0,ANCHOR,96,96,380.0,878.670878221186,984.2091581757727,1000.0,15.7908418242273
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,1,SPEC,95,95,378.0,873.0365325803019,977.8986910579827,1000.0,22.10130894201734
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,2,SPEC,94,94,377.0,869.7193869330081,974.1834879330136,1000.0,25.816512066986434
SIM_DIR-1784853860,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,3,SPEC,93,93,371.0,854.8860733490842,957.570176719019,1000.0,42.429823280981054
SIM_DIR-1784853860,SIM_DIR,capstone_iii_full,full,0,ANCHOR,93,93,371.0,854.8860733490842,983.2162025615024,1000.0,16.783797438497572
SIM_DIR-1784853860,SIM_DIR,capstone_iii_full,full,1,SPEC,92,92,366.0,842.3860155629126,968.8411361074051,1000.0,31.158863892594923
SIM_DIR-1784853860,SIM_DIR,capstone_iii_full,full,2,SPEC,91,91,356.0,818.4179543719604,941.27786573781,1000.0,58.722134262190025
SIM_DIR-1784853860,SIM_DIR,capstone_iii_full,full,3,SPEC,90,90,356.0,817.4650243610015,940.1819962252073,1000.0,59.818003774792714
