run_id,kernel,mode,bound_mode,rank,tag,iteration,breaks,f_mhz,P_mean_mW,P_upper_mW,power_cap_mW,predicted_headroom_mW
SIM_DIR-1784855095,SIM_DIR,baseline,,0,ANCHOR,166,166,479.0,1488.5567792860204,2158.4073299647293,,
SIM_DIR-1784855095,SIM_DIR,baseline,,1,SPEC,164,164,479.0,1485.934314744756,1931.7146091681827,,
SIM_DIR-1784855095,SIM_DIR,baseline,,2,SPEC,165,165,479.0,1487.2456843392422,1933.419389641015,,
SIM_DIR-1784855095,SIM_DIR,capstone_i,,0,ANCHOR,85,85,310.0,893.9846064196975,1296.2776793085613,1300.0,3.7223206914386537
SIM_DIR-1784855095,SIM_DIR,capstone_i,,1,SPEC,95,95,338.0,984.158513516597,1279.4060675715762,1300.0,20.59393242842384
SIM_DIR-1784855095,SIM_DIR,capstone_i,,2,SPEC,94,94,334.0,971.5814364275293,1263.0558673557882,1300.0,36.94413264421178
SIM_DIR-1784855095,SIM_DIR,capstone_i,,3,SPEC,92,92,330.0,958.1065051995829,1245.5384567594579,1300.0,54.46154324054214
SIM_DIR-1784855095,SIM_DIR,capstone_ii,,0,ANCHOR,99,99,346.0,1011.3045395814542,1299.176539581454,1300.0,0.823460418545892
SIM_DIR-1784855095,SIM_DIR,capstone_ii,,1,SPEC,110,110,373.0,1101.6175874252312,1295.5775874252313,1300.0,4.422412574768714
SIM_DIR-1784855095,SIM_DIR,capstone_ii,,2,SPEC,109,109,364.0,1074.027734001659,1263.307734001659,1300.0,36.6922659983411
SIM_DIR-1784855095,SIM_DIR,capstone_ii,,3,SPEC,108,108,363.0,1070.0698990738738,1258.8298990738738,1300.0,41.170100926126224
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_1x,fit_1x,0,ANCHOR,122,122,403.0,1203.6100633518517,1263.8895372165082,1300.0,36.11046278349181
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_1x,fit_1x,1,SPEC,121,121,402.0,1199.5118473483863,1259.5864104128693,1300.0,40.41358958713067
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_1x,fit_1x,2,SPEC,120,120,400.0,1192.4378326620963,1252.1586949922648,1300.0,47.84130500773517
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_1x,fit_1x,3,SPEC,119,119,397.0,1182.3963201318745,1241.6151068355318,1300.0,58.38489316446817
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_2x,fit_2x,0,ANCHOR,118,118,395.0,1175.3466328860584,1292.9792375687919,1300.0,7.020762431208141
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_2x,fit_2x,1,SPEC,117,117,393.0,1168.3077307159122,1285.236445181631,1300.0,14.763554818368902
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_2x,fit_2x,2,SPEC,116,116,392.0,1164.249588495612,1280.772488739301,1300.0,19.227511260698975
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_2x,fit_2x,3,SPEC,115,115,392.0,1163.163900337954,1279.5782317658768,1300.0,20.421768234123192
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_activity,fit_activity,0,ANCHOR,120,120,400.0,1192.4378326620963,1299.8553848563997,1300.0,0.1446151436002765
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_activity,fit_activity,1,SPEC,119,119,397.0,1182.3963201318745,1288.910136198458,1300.0,11.089863801541924
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_activity,fit_activity,2,SPEC,118,118,395.0,1175.3466328860584,1281.2259771005185,1300.0,18.77402289948145
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_activity,fit_activity,3,SPEC,117,117,393.0,1168.3077307159122,1273.5535737350592,1300.0,26.446426264940783
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,0,ANCHOR,114,114,385.0,1141.326900090242,1278.3836577740242,1300.0,21.616342225975814
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,1,SPEC,113,113,382.0,1131.375049006528,1267.2375845602644,1300.0,32.762415439735605
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,2,SPEC,112,112,379.0,1121.4395430051131,1256.1098178386799,1300.0,43.890182161320126
SIM_DIR-1784855095,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,3,SPEC,111,111,374.0,1105.608154384992,1238.3786625841442,1300.0,61.621337415855805
SIM_DIR-1784855095,SIM_DIR,capstone_iii_full,full,0,ANCHOR,112,112,379.0,1121.4395430051131,1289.7523865470714,1300.0,10.24761345292859
SIM_DIR-1784855095,SIM_DIR,capstone_iii_full,full,1,SPEC,111,111,374.0,1105.608154384992,1271.5462896339325,1300.0,28.453710366067526
SIM_DIR-1784855095,SIM_DIR,capstone_iii_full,full,2,SPEC,110,110,373.0,1101.6175874252312,1266.9571376302074,1300.0,33.0428623697926
SIM_DIR-1784855095,SIM_DIR,capstone_iii_full,full,3,SPEC,109,109,364.0,1074.027734001659,1235.2288061930992,1300.0,64.77119380690078
