run_id,kernel,mode,bound_mode,rank,tag,iteration,breaks,f_mhz,P_mean_mW,P_upper_mW,power_cap_mW,predicted_headroom_mW
SIM_DIR-1784863204,SIM_DIR,baseline,,0,ANCHOR,122,122,481.0,909.4408560842875,1318.6892413222167,,
SIM_DIR-1784863204,SIM_DIR,baseline,,1,SPEC,120,120,478.0,901.3685280719419,1171.7790864935246,,
SIM_DIR-1784863204,SIM_DIR,baseline,,2,SPEC,121,121,478.0,902.5688849421488,1173.3395504247935,,
SIM_DIR-1784863204,SIM_DIR,capstone_i,,0,ANCHOR,61,61,294.0,510.2386353787169,739.8460212991395,750.0,10.153978700860534
SIM_DIR-1784863204,SIM_DIR,capstone_i,,1,SPEC,66,66,324.0,566.4850747992489,736.4305972390235,750.0,13.569402760976459
SIM_DIR-1784863204,SIM_DIR,capstone_i,,2,SPEC,65,65,319.0,556.9205646081754,723.9967339906281,750.0,26.00326600937194
SIM_DIR-1784863204,SIM_DIR,capstone_i,,3,SPEC,64,64,313.0,545.6381689161626,709.3296195910115,750.0,40.670380408988535
SIM_DIR-1784863204,SIM_DIR,capstone_ii,,0,ANCHOR,67,67,335.0,586.580533709162,747.3805337091619,750.0,2.6194662908380906
SIM_DIR-1784863204,SIM_DIR,capstone_ii,,1,SPEC,71,71,354.0,623.4929409014404,729.6929409014405,750.0,20.307059098559535
SIM_DIR-1784863204,SIM_DIR,capstone_ii,,2,SPEC,69,69,346.0,607.6229755739854,711.4229755739854,750.0,38.577024426014646
SIM_DIR-1784863204,SIM_DIR,capstone_ii,,3,SPEC,70,70,346.0,608.5132614522383,712.3132614522383,750.0,37.686738547761706
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_1x,fit_1x,0,ANCHOR,83,83,396.0,709.642156309289,745.2235063434609,750.0,4.77649365653906
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_1x,fit_1x,1,SPEC,82,82,395.0,706.8409055455335,742.2821930415175,750.0,7.71780695848247
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_1x,fit_1x,2,SPEC,81,81,393.0,702.257367541715,737.4694781375081,750.0,12.530521862491923
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_1x,fit_1x,3,SPEC,80,80,392.0,699.4678519576133,734.5404867742013,750.0,15.459513225798673
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_2x,fit_2x,0,ANCHOR,78,78,382.0,679.6690036111712,747.734388409703,750.0,2.2656115902969987
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_2x,fit_2x,1,SPEC,77,77,381.0,676.9137542301265,744.7036140905539,750.0,5.296385909446144
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_2x,fit_2x,2,SPEC,76,76,379.0,672.3890332890516,739.7264210553714,750.0,10.273578944628639
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_2x,fit_2x,3,SPEC,75,75,378.0,669.6455527847407,736.7085925006295,750.0,13.291407499370507
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_activity,fit_activity,0,ANCHOR,78,78,382.0,679.6690036111712,740.9378499298498,750.0,9.06215007015021
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_activity,fit_activity,1,SPEC,77,77,381.0,676.9137542301265,737.9346281045111,750.0,12.065371895488852
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_activity,fit_activity,2,SPEC,76,76,379.0,672.3890332890516,733.0026822787395,750.0,16.997317721260515
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_activity,fit_activity,3,SPEC,75,75,378.0,669.6455527847407,730.0122885290406,750.0,19.987711470959425
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,0,ANCHOR,74,74,375.0,663.3687902586785,743.0712264146174,750.0,6.928773585382601
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,1,SPEC,73,73,374.0,660.6396528855256,740.0145925566862,750.0,9.985407443313761
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,2,SPEC,72,72,366.0,645.568474880041,723.1348731905435,750.0,26.865126809456456
SIM_DIR-1784863204,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,3,SPEC,71,71,354.0,623.4929409014404,698.4102751345108,750.0,51.58972486548919
SIM_DIR-1784863204,SIM_DIR,capstone_iii_full,full,0,ANCHOR,72,72,366.0,645.568474880041,742.5014727681692,750.0,7.498527231830849
SIM_DIR-1784863204,SIM_DIR,capstone_iii_full,full,1,SPEC,71,71,354.0,623.4929409014404,717.1146086927785,750.0,32.88539130722154
SIM_DIR-1784863204,SIM_DIR,capstone_iii_full,full,2,SPEC,70,70,346.0,608.5132614522383,699.887977326196,750.0,50.11202267380395
SIM_DIR-1784863204,SIM_DIR,capstone_iii_full,full,3,SPEC,69,69,346.0,607.6229755739854,698.8641485662052,750.0,51.135851433794755
