run_id,kernel,mode,bound_mode,rank,tag,iteration,breaks,f_mhz,P_mean_mW,P_upper_mW,power_cap_mW,predicted_headroom_mW
SIM_DIR-1784848446,SIM_DIR,baseline,,0,ANCHOR,147,147,431.0,1384.535239540606,2007.5760973338786,,
SIM_DIR-1784848446,SIM_DIR,baseline,,1,SPEC,146,146,429.0,1376.9082411053687,1789.9807134369794,,
SIM_DIR-1784848446,SIM_DIR,baseline,,2,SPEC,145,145,428.0,1372.4988912505262,1784.2485586256842,,
SIM_DIR-1784848446,SIM_DIR,capstone_i,,0,ANCHOR,76,76,273.0,822.1604122387115,1192.1325977461318,1200.0,7.867402253868249
SIM_DIR-1784848446,SIM_DIR,capstone_i,,1,SPEC,85,85,301.0,914.2136040105426,1188.4776852137054,1200.0,11.5223147862946
SIM_DIR-1784848446,SIM_DIR,capstone_i,,2,SPEC,84,84,297.0,901.2183318289196,1171.5838313775955,1200.0,28.416168622404484
SIM_DIR-1784848446,SIM_DIR,capstone_i,,3,SPEC,81,81,295.0,892.6255374819604,1160.4131987265484,1200.0,39.586801273451556
SIM_DIR-1784848446,SIM_DIR,capstone_ii,,0,ANCHOR,107,107,354.0,1097.3058079350917,1182.2658079350917,1200.0,17.734192064908257
SIM_DIR-1784848446,SIM_DIR,capstone_ii,,1,SPEC,109,109,365.0,1133.4685187327648,1188.2185187327648,1200.0,11.781481267235222
SIM_DIR-1784848446,SIM_DIR,capstone_ii,,2,SPEC,108,108,360.0,1116.9229886261344,1170.9229886261344,1200.0,29.077011373865616
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_1x,fit_1x,0,ANCHOR,109,109,365.0,1133.4685187327648,1190.2408261003327,1200.0,9.759173899667303
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_1x,fit_1x,1,SPEC,108,108,360.0,1116.9229886261344,1172.868019488371,1200.0,27.13198051162908
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_1x,fit_1x,2,SPEC,107,107,354.0,1097.3058079350917,1152.2699797627758,1200.0,47.73002023722415
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_1x,fit_1x,3,SPEC,106,106,353.0,1093.2065162200727,1147.965723462006,1200.0,52.03427653799395
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_2x,fit_2x,0,ANCHOR,105,105,350.0,1082.9245932569092,1191.3148154444596,1200.0,8.685184555540445
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_2x,fit_2x,1,SPEC,104,104,349.0,1078.8417322805628,1186.8236683704783,1200.0,13.176331629521655
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_2x,fit_2x,2,SPEC,103,103,348.0,1074.7642564860687,1182.338444996535,1200.0,17.661555003465082
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_2x,fit_2x,3,SPEC,102,102,346.0,1067.6066632177092,1174.4650924013395,1200.0,25.53490759866054
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_activity,fit_activity,0,ANCHOR,107,107,354.0,1097.3058079350917,1196.1613172249233,1200.0,3.838682775076677
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_activity,fit_activity,1,SPEC,106,106,353.0,1093.2065162200727,1191.6930892555526,1200.0,8.30691074444735
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_activity,fit_activity,2,SPEC,105,105,350.0,1082.9245932569092,1180.4857932257046,1200.0,19.514206774295417
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_activity,fit_activity,3,SPEC,104,104,349.0,1078.8417322805628,1176.0354747614867,1200.0,23.96452523851326
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,0,ANCHOR,102,102,346.0,1067.6066632177092,1195.8167782380656,1200.0,4.183221761934419
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,1,SPEC,101,101,342.0,1054.2947931629928,1180.9074837767832,1200.0,19.092516223216762
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,2,SPEC,100,100,337.0,1037.9255010527986,1162.5738766133657,1200.0,37.426123386634345
SIM_DIR-1784848446,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,3,SPEC,99,99,334.0,1027.7382891546388,1151.1641992874265,1200.0,48.83580071257347
SIM_DIR-1784848446,SIM_DIR,capstone_iii_full,full,0,ANCHOR,100,100,337.0,1037.9255010527986,1193.7109705035073,1200.0,6.289029496492731
SIM_DIR-1784848446,SIM_DIR,capstone_iii_full,full,1,SPEC,99,99,334.0,1027.7382891546388,1181.9956768206237,1200.0,18.004323179376343
SIM_DIR-1784848446,SIM_DIR,capstone_iii_full,full,2,SPEC,98,98,333.0,1023.7161386926442,1177.3702037893297,1200.0,22.629796210670293
SIM_DIR-1784848446,SIM_DIR,capstone_iii_full,full,3,SPEC,97,97,333.0,1022.7707046531465,1176.2829546439075,1200.0,23.717045356092513
SIM_DIR-1784850421,SIM_DIR,baseline,,0,ANCHOR,147,147,431.0,1384.535239540606,2007.5760973338786,,
SIM_DIR-1784850421,SIM_DIR,baseline,,1,SPEC,146,146,429.0,1376.9082411053687,1789.9807134369794,,
SIM_DIR-1784850421,SIM_DIR,baseline,,2,SPEC,145,145,428.0,1372.4988912505262,1784.2485586256842,,
SIM_DIR-1784850421,SIM_DIR,capstone_i,,0,ANCHOR,83,83,295.0,894.308558501759,1296.7474098275504,1300.0,3.2525901724495725
SIM_DIR-1784850421,SIM_DIR,capstone_i,,1,SPEC,92,92,319.0,975.2398156097265,1267.8117602926445,1300.0,32.18823970735548
SIM_DIR-1784850421,SIM_DIR,capstone_i,,2,SPEC,91,91,313.0,956.0069258035044,1242.8090035445557,1300.0,57.19099645544429
SIM_DIR-1784850421,SIM_DIR,capstone_i,,3,SPEC,90,90,311.0,949.0135768933388,1233.7176499613406,1300.0,66.28235003865939
SIM_DIR-1784850421,SIM_DIR,capstone_ii,,0,ANCHOR,97,97,333.0,1022.7707046531465,1299.8267046531464,1300.0,0.1732953468535925
SIM_DIR-1784850421,SIM_DIR,capstone_ii,,1,SPEC,107,107,354.0,1097.3058079350917,1281.3858079350916,1300.0,18.614192064908366
SIM_DIR-1784850421,SIM_DIR,capstone_ii,,2,SPEC,106,106,353.0,1093.2065162200727,1276.7665162200726,1300.0,23.233483779927383
SIM_DIR-1784850421,SIM_DIR,capstone_ii,,3,SPEC,105,105,350.0,1082.9245932569092,1264.9245932569092,1300.0,35.07540674309075
