run_id,kernel,mode,bound_mode,rank,tag,iteration,breaks,f_mhz,P_mean_mW,P_upper_mW,power_cap_mW,predicted_headroom_mW
SIM_DIR-1784865603,SIM_DIR,baseline,,0,ANCHOR,63,63,439.0,371.9284669478902,539.2962770744407,,
SIM_DIR-1784865603,SIM_DIR,baseline,,1,SPEC,62,62,435.0,367.618945740187,477.90462946224307,,
SIM_DIR-1784865603,SIM_DIR,baseline,,2,SPEC,61,61,433.0,365.01150836164976,474.5149608701447,,
SIM_DIR-1784865603,SIM_DIR,capstone_i,,0,ANCHOR,41,41,263.0,210.45581162312143,305.16092685352606,350.0,44.839073146473936
SIM_DIR-1784865603,SIM_DIR,capstone_i,,1,SPEC,42,42,313.0,251.1407135110682,326.48292756438866,350.0,23.51707243561134
SIM_DIR-1784865603,SIM_DIR,capstone_i,,2,SPEC,40,40,262.0,209.0891744616364,271.81592680012733,350.0,78.18407319987267
SIM_DIR-1784865603,SIM_DIR,capstone_ii,,0,ANCHOR,43,43,338.0,271.9283524651567,347.6403524651567,350.0,2.3596475348433046
SIM_DIR-1784865603,SIM_DIR,capstone_ii,,1,SPEC,47,47,366.0,297.60428526047633,348.84428526047634,350.0,1.1557147395236598
SIM_DIR-1784865603,SIM_DIR,capstone_ii,,2,SPEC,46,46,358.0,290.3303645244688,340.4503645244688,350.0,9.549635475531204
SIM_DIR-1784865603,SIM_DIR,capstone_ii,,3,SPEC,44,44,354.0,285.56316962491655,335.12316962491656,350.0,14.876830375083443
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_1x,fit_1x,0,ANCHOR,52,52,402.0,331.1811818800979,347.83979587975966,350.0,2.160204120240337
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_1x,fit_1x,1,SPEC,51,51,396.0,325.39178105407575,341.7609250124365,350.0,8.239074987563527
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_1x,fit_1x,2,SPEC,50,50,386.0,316.34908861483194,332.26609795123045,350.0,17.73390204876955
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_1x,fit_1x,3,SPEC,49,49,374.0,305.7136183604947,321.09885418417633,350.0,28.901145815823668
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_2x,fit_2x,0,ANCHOR,50,50,386.0,316.34908861483194,348.0831072876289,350.0,1.9168927123711228
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_2x,fit_2x,1,SPEC,49,49,374.0,305.7136183604947,336.38409000785794,350.0,13.615909992142065
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_2x,fit_2x,2,SPEC,48,48,370.0,301.65076995214366,331.91495675867185,350.0,18.08504324132815
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_2x,fit_2x,3,SPEC,47,47,366.0,297.60428526047633,327.46382359783775,350.0,22.536176402162255
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_activity,fit_activity,0,ANCHOR,50,50,386.0,316.34908861483194,344.91970542034926,350.0,5.08029457965074
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_activity,fit_activity,1,SPEC,49,49,374.0,305.7136183604947,333.32704284312166,350.0,16.67295715687834
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_activity,fit_activity,2,SPEC,48,48,370.0,301.65076995214366,328.898538078019,350.0,21.101461921981013
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_activity,fit_activity,3,SPEC,47,47,366.0,297.60428526047633,324.4878697641016,350.0,25.512130235898383
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,0,ANCHOR,49,49,374.0,305.7136183604947,342.4981843373306,350.0,7.501815662669401
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,1,SPEC,48,48,370.0,301.65076995214366,337.94779411997746,350.0,12.052205880022541
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,2,SPEC,47,47,366.0,297.60428526047633,333.41573126531006,350.0,16.584268734689942
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,3,SPEC,46,46,358.0,290.3303645244688,325.2689400409816,350.0,24.73105995901841
SIM_DIR-1784865603,SIM_DIR,capstone_iii_full,full,0,ANCHOR,48,48,370.0,301.65076995214366,346.99705016193593,350.0,3.002949838064069
SIM_DIR-1784865603,SIM_DIR,capstone_iii_full,full,1,SPEC,47,47,366.0,297.60428526047633,342.34359276651844,350.0,7.656407233481559
SIM_DIR-1784865603,SIM_DIR,capstone_iii_full,full,2,SPEC,46,46,358.0,290.3303645244688,333.9785839201097,350.0,16.021416079890287
SIM_DIR-1784865603,SIM_DIR,capstone_iii_full,full,3,SPEC,45,45,354.0,286.3252561394745,329.3727092773663,350.0,20.62729072263369
