run_id,kernel,mode,bound_mode,K,retained_count,evaluated_candidates,trajectory_iterations,trajectory_breaks,stopped_at_iteration,stopped_at_breaks,selected_iteration,selected_breaks,selected_freq_mhz,baseline_freq_mhz,norm_freq_vs_baseline,full_bounds_freq_mhz,norm_freq_vs_full_bounds,P_mean_mW,P_upper_mW,power_cap_mW,predicted_headroom_mW,calibration_source,anchor_has_finite_conformal_guarantee,P_oracle_mW,success,delta_cap_pct
SIM_DIR-1784865603,SIM_DIR,baseline,,4,3,64,63,63,,,63,63,439.0,439.0,1.0,370.0,1.1864864864864866,371.9284669478902,539.2962770744407,,,,,,,
SIM_DIR-1784865603,SIM_DIR,capstone_i,,4,3,44,63,63,43,43,41,41,263.0,439.0,0.5990888382687927,370.0,0.7108108108108108,210.45581162312143,305.16092685352606,350.0,44.839073146473936,,,,,
SIM_DIR-1784865603,SIM_DIR,capstone_ii,,4,4,49,63,63,48,48,43,43,338.0,439.0,0.7699316628701595,370.0,0.9135135135135135,271.9283524651567,347.6403524651567,350.0,2.3596475348433046,/aha/archipelago/archipelago/coeffs/capstone_ii_calibration.json,False,,,
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_1x,fit_1x,4,4,54,63,63,53,53,52,52,402.0,439.0,0.9157175398633257,370.0,1.0864864864864865,331.1811818800979,347.83979587975966,350.0,2.160204120240337,,,,,
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_2x,fit_2x,4,4,52,63,63,51,51,50,50,386.0,439.0,0.8792710706150342,370.0,1.0432432432432432,316.34908861483194,348.0831072876289,350.0,1.9168927123711228,,,,,
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_activity,fit_activity,4,4,52,63,63,51,51,50,50,386.0,439.0,0.8792710706150342,370.0,1.0432432432432432,316.34908861483194,344.91970542034926,350.0,5.08029457965074,,,,,
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,4,4,51,63,63,50,50,49,49,374.0,439.0,0.8519362186788155,370.0,1.0108108108108107,305.7136183604947,342.4981843373306,350.0,7.501815662669401,,,,,
SIM_DIR-1784865603,SIM_DIR,capstone_iii_full,full,4,4,50,63,63,49,49,48,48,370.0,439.0,0.8428246013667426,370.0,1.0,301.65076995214366,346.99705016193593,350.0,3.002949838064069,,,,,
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_1x,fit_1x,90,53,54,63,63,53,53,52,52,402.0,439.0,0.9157175398633257,370.0,1.0864864864864865,331.1811818800979,347.83979587975966,350.0,2.160204120240337,,,,,
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_2x,fit_2x,90,51,52,63,63,51,51,50,50,386.0,439.0,0.8792710706150342,370.0,1.0432432432432432,316.34908861483194,348.0831072876289,350.0,1.9168927123711228,,,,,
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_activity,fit_activity,90,51,52,63,63,51,51,50,50,386.0,439.0,0.8792710706150342,370.0,1.0432432432432432,316.34908861483194,344.91970542034926,350.0,5.08029457965074,,,,,
SIM_DIR-1784865603,SIM_DIR,capstone_iii_fit_activity_pvt,fit_activity_pvt,90,50,51,63,63,50,50,49,49,374.0,439.0,0.8519362186788155,370.0,1.0108108108108107,305.7136183604947,342.4981843373306,350.0,7.501815662669401,,,,,
SIM_DIR-1784865603,SIM_DIR,capstone_iii_full,full,90,49,50,63,63,49,49,48,48,370.0,439.0,0.8428246013667426,370.0,1.0,301.65076995214366,346.99705016193593,350.0,3.002949838064069,,,,,
SIM_DIR-1784865603,SIM_DIR,capstone_iii_full,full,8,8,50,63,63,49,49,48,48,370.0,439.0,0.8428246013667426,370.0,1.0,301.65076995214366,346.99705016193593,350.0,3.002949838064069,,,,,
SIM_DIR-1784865603,SIM_DIR,capstone_iii_full,full,4,4,50,63,63,49,49,48,48,370.0,439.0,0.8428246013667426,370.0,1.0,301.65076995214366,346.99705016193593,350.0,3.002949838064069,,,,,
