workload,display_name,signoff_total_mW,all_kernel_prediction_mW,vecadd_only_prediction_mW,percent_difference_all,percent_difference_vecadd_only,absolute_strategy_gap,highlighted_gap,vecadd_only_scale_factor
vec_elemadd,VecAdd,92.9,90.12758007623357,92.9,2.9843056229993916,0.0,2.9843056229993916,False,1.0307610602816741
tensor3_ttv,TTV,161.5,174.22125598794938,179.58048654574367,7.876938692228715,11.195347706342828,3.3184090141141125,False,1.0307610602816741
mat_elemmul,ElemMul,188.5,172.78582618335096,178.1009013983959,8.336431732970311,5.516763183874852,2.819668549095459,False,1.0307610602816741
mat_sddmm,SDDMM,398.9,334.41600134079596,344.70299211719663,16.165454665130113,13.58661516239743,2.5788395027326825,False,1.0307610602816741
mat_mask_tri,TriMask,336.0,280.72118708243806,289.35646844062404,16.45202765403629,13.882003440290465,2.5700242137458247,False,1.0307610602816741
harris,Harris,283.3,231.24058660970522,238.35379223397604,18.3760724992216,15.86523394494316,2.5108385542784397,False,1.0307610602816741
mat_mattransmul,MatT-Mul,338.0,264.18190092762967,272.3084163073917,21.83967428176637,19.435379790712506,2.4042944910538644,False,1.0307610602816741
tensor3_mttkrp,MTTKRP,272.2,343.3226866290998,353.8836564885639,26.12883417674497,30.008690848113112,3.8798566713681417,True,1.0307610602816741
unsharp,Unsharp,210.6,287.3617108581455,296.20126176849794,36.44905548819825,40.64637310944822,4.197317621249972,True,1.0307610602816741
tensor3_innerprod,T3-Inner,147.6,202.57674530652093,208.80822078056016,37.24711741634211,41.4689842686722,4.221866852330095,True,1.0307610602816741
gaussian,Gaussian,156.0,96.23177475907526,99.19196618345167,38.31296489802868,36.415406292659185,1.8975586053694968,False,1.0307610602816741
