workload,split,signoff_total_mW,capstone_prediction_mW,oracle_prediction_mW,capstone_ape_percent
vec_elemadd,in-sample,92.9,91.389,91.56999894287954,1.6264800861141118
mat_elemmul,in-sample,188.5,171.072,173.15965690040008,9.245623342175065
tensor3_ttv,in-sample,161.5,172.372,171.0696700814121,6.73188854489165
tensor3_mttkrp,in-sample,272.2,337.575,329.7438908730976,24.01726671565026
tensor3_innerprod,in-sample,147.6,200.867,194.48627816653595,36.08875338753388
mat_mask_tri,in-sample,336.0,278.959,285.7917999343425,16.976488095238093
mat_sddmm,in-sample,398.9,330.681,338.8527848340827,17.101779894710454
mat_mattransmul,in-sample,338.0,260.5,269.7835328081826,22.928994082840237
gaussian,held-out,156.0,98.22274922254428,105.14374281169401,37.03669921631777
harris,held-out,283.3,236.17682661674164,241.8215946958275,16.633665154697624
unsharp,held-out,210.6,283.2778117589869,274.57191692167754,34.509882126774414
