compiler,tech,fabric,workload,cap_mW,freq_MHz_orig,freq_MHz_2x,freq_MHz_4x,power_mW_orig,power_mW_2x,power_mW_4x,delta_cap_pct_orig,delta_cap_pct_2x,delta_cap_pct_4x,success_orig,success_2x,success_4x,source
RipTide,22FFL,6×6,FFT,0.3,50.0,25.0,12.5,0.24,0.12,0.06,20.0,60.0,80.0,Y,Y,Y,paper_hardcoded
Snafu,22FFL,6×6,FFT,0.4,50.0,25.0,12.5,0.54,0.27,0.135,-35.0,32.5,66.25,N,Y,Y,paper_hardcoded
UE-CGRA,28nm,8×8,FFT,5.0,750.0,325.0,162.5,14.0,7.0,3.5,-180.0,-40.0,30.0,N,N,Y,paper_hardcoded
Plasticine,28nm,–,Inner Prod.,3000.0,280.0,140.0,70.0,18900.0,9450.0,4725.0,-530.0,-215.0,-57.5,N,N,N,paper_hardcoded
Cascade,12nm,32×16,Inner Prod.,750.0,481.0,240.5,120.25,909.4408560842875,454.72042804214374,227.36021402107187,-21.25878081123833,39.37060959438084,69.68530479719041,N,Y,Y,capstone_tensor3_innerprod
Capstone I,16nm,32×16,Inner Prod.,750.0,294.0,147.0,73.5,510.2386353787169,255.11931768935844,127.55965884467922,31.96818194950442,65.9840909747522,82.9920454873761,Y,Y,Y,capstone_tensor3_innerprod
Capstone II,16nm,32×16,Inner Prod.,750.0,335.0,167.5,83.75,586.580533709162,293.290266854581,146.6451334272905,21.78926217211174,60.89463108605587,80.44731554302794,Y,Y,Y,capstone_tensor3_innerprod
Capstone III,16nm,32×16,Inner Prod.,750.0,366.0,183.0,91.5,645.568474880041,322.7842374400205,161.39211872001025,13.92420334932787,56.962101674663934,78.48105083733198,Y,Y,Y,capstone_tensor3_innerprod
Cascade,12nm,32×16,SDDMM,1300.0,479.0,239.5,119.75,1488.5567792860204,744.2783896430102,372.1391948215051,-14.504367637386183,42.7478161813069,71.37390809065346,N,Y,Y,capstone_mat_sddmm
Capstone I,16nm,32×16,SDDMM,1300.0,310.0,155.0,77.5,893.9846064196975,446.9923032098487,223.49615160492436,31.231953352330965,65.61597667616547,82.80798833808275,Y,Y,Y,capstone_mat_sddmm
Capstone II,16nm,32×16,SDDMM,1300.0,346.0,173.0,86.5,1011.3045395814542,505.6522697907271,252.82613489536354,22.207343109118913,61.10367155455945,80.55183577727973,Y,Y,Y,capstone_mat_sddmm
Capstone III,16nm,32×16,SDDMM,1300.0,379.0,189.5,94.75,1121.4395430051131,560.7197715025566,280.3598857512783,13.735419768837449,56.86770988441873,78.43385494220936,Y,Y,Y,capstone_mat_sddmm
